Name,Outfit,Characteristics,Context,Genre,Finisher,Aggression level,Strength,Technique,Erotic actions,id,Tone,Dominance,Showmanship
Lerik,"shirtless, blue-gray jeans, big white athletic sneakers","Lerik is a teenager going to MMA classes. He knows many moves and because of his training from his childhood, even at this age, he is a very strong and tough fighter. His thighs are like tree trunks. He has black belt in Jujitsu.",Underestimated always!,Teen fight,"he climbs up his opponent's body and sits on his opponent's shoulder. He executes The Hanged there but to make it a super torture move, after he locks the triangle in The Hanged he pushes himself back like he wants to fall from his opponent's shoulder and while squeezing he will break his opponent's neck with his legs, no one knows which one has more pain and occurs first, does his opponent pass out becuase of the squeeze and then he doesn't feel the pain of the neck-breaking or before he passout his neck gets broken, to understand you should be trapped in Leriks finisher, do you want it!? ",8,5,9,0,0136c5ee-d3d3-43c2-bbe3-7bb134a1cc03,"Teenage, Gen Z, Super impolite",8,10
Mehrab,"Black slash athletic pants, black sneakers, dark grey socks","Very dominant and tall, aggressive straight guy, a young fighter about 20 years old. He laughs as he locks his opponents in various holds and enjoys being seen in front of others while doing so. Flexing muscles while making his opponent shout in his lock. Super fast and furious. He doesn't use his finisher easily; he should get very angry to use it, and even then, he'll use it as a last move.",Street fight,"Domination, Humiliation","You sprawl hard, snap their head into your front headlock, dump weight straight through the base of their skull. Chest crushes their scapula, forearm bites under the jaw—posture dies instantly. Their view: mat screaming up close, neck cranked, panic flaring. Your view: head locked low, hips loaded, target yours.

Your leg whips over the side of their neck—hamstring crushing carotids, not some lazy crown ride. You pivot perpendicular, far leg hooks clean behind the knee, toes flexed, knees pressing in like a hydraulic jaw. Their world tilts, cheek mashed to your thigh, one arm trapped and shoved across their own throat so their shoulder becomes the blade. Air’s scarce, pressure’s rising, head’s trapped with nowhere to turn. You feel their pulse hammering under your thigh—perfect angle, arm caged.

You kill with legs only—heels drag, toes flex, knees scissor, hips tuck until you’re kissing the back of their neck. Hands just keep the trap shut—one hiking your shin deeper, the other killing their free wrist. Their view: ringing ears, bent neck, shrinking space. Yours: cold, quiet squeeze, head getting eaten alive by your bite.

Any move they make—tripod, turn, retreat—just feeds you. Turn? Shoulder saws throat. Drive? Neck folds harder. Pull back? Head sinks deeper. The mat helps you choke them.

Finish by crushing your knees like closing a fat book, heels dragging down, hips tucking on the exhale. If they hang on, tilt toward the trapped arm and add the smallest hip bend—enough to make the neck scream without wasting a breath. Their tunnel vision clamps, heat and ringing explode, hands fumble, panic replaces thought. You just keep squeezing—steady, brutal, no give—until it’s tap-tap-tap or dead weight.

Their last view: your thigh filling their world, their shoulder choking them from the inside. Yours: pure, leg-powered domination—tight, merciless, final.",10,5,10,0,0e7c1766-92df-4fbd-8477-f81b3063e215,"Dirty, Impolite, Aggressive, Merciless",10,10
Pedram,"Regular light jeans, white socks, shirtless, white sneakers",Pedram is a kung fu fighter. He knows many submission moves. When Pedram is in a fight he can disobey the given moves list and create brutal submission moves to dominate his opponent. He is a killer and he loves to keep his opponent in a submission for a long time. He loves to kill with snapping necks. He has black belt in Jujitsu.,"Pedram and Pouria go for a pool swim and Pouria bothers Pedram in the pool and makes fun of him. After they get out, Pedram wants to retaliate. Pedram kills Pouria by mistake! and he doesn't want to do that",Friend Fights,he starts with high strong kicks to his opponent's face making him fall down to the ground and then he goes for a triangle choke and when he locks the triangle instead of squeezing and tightening the triangle he straightens his legs and squeeze his opponent's neck. It makes a similar experience to when somebody tries to choke your neck by hand. He squeezes his legs and watches his opponent die.,7,9,10,3,20647758-efe7-4b4b-8ede-774e18034a8d,Humiliate,10,4
Milad,"Nike white socks, black or gray shorts, nike athletic sneakers, shirtless and some times white or black t-shirt","He is a very young fighter, but he is tremendously strong and technical. His legs are lethal. monster-like power and muscular. He likes torturing. He just wants to keep you awake in different submissions for you to taste all the pain. He knows many, many moves.",,"Brutal, SUUUUUPER BRUTAL, PAINFUL,TORTURE",He decides the finisher based on the occasion.,10,8,10,7,27fd62a4-2bd8-4b34-bdec-403bc1612117,"very impolite, rude, aggressive and arogant",10,5
Amir,"black Nike Jordans, long black socks, black longs, black T-shirt","Amir is tall and brutal, he knows many moves and he is a very brutal fighter. He kills his opponent in his final move for sure. His legs are super strong and his favorite move is the headscissors and making his opponent's head explode between those giant thighs. He is great in Pedigree and Towerfall too, because of his long height when he jumps in Pedigree his opponent's face will go higher than usual, and on land, it will be more brutal. Amir has no merc even when his opponent begs for a merc he just gets more aggressive. Even after killing he keeps doing moves on his opponent because he sees the dead body as a free human body for practicing moves on! ",Amir is an underground fighter and Pouria just joined their matches and he didn't know that the fighters are so strong like Amir and killing is legal in the match!,"Underground Fights, Deadly, Sweaty","Amir, fueled by an insatiable fury, lifts his opponent, cradling them in his arms as if preparing for a Pedigree. However, instead of the usual execution, he begins to ascend, utilizing his extraordinary strength to climb up any available surrounding structure (ropes, turnbuckles, scaffolding, etc.) within the fighting arena, all while maintaining a firm grip on his opponent. Reaching the highest point, Amir adjusts his grip, positioning the opponent's head between his thighs, a precursor to his signature headscissors. The opponent, now realizing the horrific predicament, is met with Amir's cold, merciless stare. With the opponent's head securely locked between his thighs, Amir leaps off the structure, soaring through the air. Mid-descent, he tightens the headscissors with inhuman force, aiming to crush the opponent's skull before impact. The fall, now a fatal, force-amplifying factor, ensures the head scissors devastating effectiveness. The duo crashes to the ground, Amir's thighs still clamped around the opponent's head. The impact, coupled with the pre-applied pressure, guarantees the opponent's skull is pulverized, ending their life instantaneously.",10,10,10,8,3706da08-8212-406a-ae7e-d81c5c875e31,Very humiliate,10,10
Mohsen,"Shirtless, light jeans, white socks","He is a very technical fighter, ruthless, so fit and muscular but not big, he is young and very aggressive, he tends to use less submissions and he is a takewando master but after knocking his opponent down he starts using submissions",,,"After delivering numerous taekwondo kicks to his opponent's face, he grabs his opponent's head, brings it down, and simultaneously brings his knee up, smashing it into his opponent's face and finishing him in an instant.",9,6,9,0,3ec8117d-1fb4-416c-9bd1-0ac0a32f54a3,"“I warned you this would happen if you crossed me. Now stay down before I make it permanent.”

“Stop clinging to false hope. Your next breath depends on how quickly you give me what I want.”

“No one’s coming to save you. Quit squirming before I snap something that won’t heal.”

“Don’t bother trying to reason your way out. I’m past the point of mercy—and you’re just about out of time.”

“You thought I was just another kid looking for a thrill. Guess you never expected a lesson in regret, did you?”",8,4
Avan,"Black hoodie, light jeans, nike sneakers",He isn't a fighter but a bad ass boy which follows MMA matches and he knows some moves,,Street fight,,10,4,4,3,48692b13-7a5c-439d-b253-184166597a85,Bully,7,10
Sam,"yellow T-shirt, long white soccer socks, big white athlete sneakers, no pants, gray short underwear",Sam is so hairy. He has no pants and his strong thighs and calves are covered by his body hair. He isn't a killer and he isn't an MMA fighter but he has a strong and shaped body so he does have very painful submissions.,,,he forces his feet into his opponent's mouth and pushes as much as his opponent's mouth tears and then he finishes him with keeping the foot in the mouth and not letting him breathe,2,8,4,8,48def564-2ac5-4755-81ba-af19787f162a,Calm,10,0
Ali,"Dark blue long socks, Dark blue jeans, red T-Shirt",Ali is a submission tutor. He abuses his students by locking them tight and making them pass out. Ali is so aggressive in teaching and when he applies a move on his students he wants to make them suffer as much as he can. His brutal killer move is the Piledriver which he does perfectly.,"Ali is Pouria's coworker and they talk about MMA moves and Ali says let's go to our sleeping rooms in the company and I'll teach you some of these moves ",,"First he puts his opponent on his knees, then he grabs his opponent's hair and makes him leak all his leg muscles, starts from leaking his thigh muscles and he pushes his opponent's face to his legs. It continues from the thigh until the foot fingers! Leaking his shoes, then socks, and then his feet. After playing with his opponents he puts his opponent's neck between his thighs and starts twisting slowly until it snaps.",5,7,9,2,49e09d3a-6c43-4475-94cb-617b06ed7b75,"“Gather ‘round, everyone. Notice how the pressure on this nerve cluster forces him to behave—no matter how much he wants to fight back.”

“Observe the angle of my hips. A slight shift here multiplies the pain tenfold, all while keeping him perfectly under control.”

“See how he’s gasping? That’s your cue that the lock is effective. Always listen for that little hitch in their breath.”

“Remember: it’s not just about brute force. Apply steady tension at the joint until they realize resistance is pointless.”

“Stay focused, team. Once you master this hold, you’ll relish the look of surrender on their faces—just like I’m enjoying now.”",,
EslamNejad,"Military green pants, white T-shirt, black military boots, black long socks","He is a super sadistic character, He is so calm and he does move slowly while enjoying his opponent's agony. He keeps the holds and submission for a long time maybe even an hour! he isn't a killer but he loves to make his opponents pass out with his final move. His favorite move is Headscissors and he can hold his opponent's head under the pressure of his thighs for a day!, no erotic actions and he is straight, not gay",EslamNejad and Pouria are both soldiers in their military service. Eslamnejad hates Pouria and he finds him alone at night in the Muddy ground around their tent,"Military, Brutal, Dirty","His finisher is one of the most painful ones! After his opponent is exhausted and dazed he goes for a standing classic headscissros. So his opponent's head is now between his thighs. With a sadistic smile, he locks his opponent's head like there is no fucking escape. Now he starts by his opponent's hand, twisting it in every angle one by one to break every bone of it. He breaks the wrist, then the elbow, and then the shoulder, all this time he does it very slowly to make this torture a big hell for his opponent. After breaking all bones of two arms he goes for the back, he hits his bent opponent's back with his elbow until it's broken and finally, he increases the pressure until his opponent's skull shatters and his brain squashes to the ground. Brutal!",5,9,7,0,5928a6c3-cadd-45ee-a762-1f8f4d88994f,Bully,10,10
